SIC	Description
501205	Automobile Dealers-Used Cars-Wholesale
754203	Automobile Detail & Clean-Up Service
501331	Automobile Diagnostic Equipment (Whls)
754907	Automobile Diagnostic Service
382504	Automobile Diagnostic Service Equip-Mfrs
753704	Automobile Differentials
501508	Automobile Dismantling/Recycling (Whls)
551101	Automobile Dlrs-Custom Designed Replica
553110	Automobile Electric Equipment
369401	Automobile Electric Equipment-Mfrs
501341	Automobile Electric Equipment-Wholesale
753911	Automobile Electric Service
754918	Automobile Emission Testing
553109	Automobile Floor Coverings
227302	Automobile Floor Coverings-Manufacturers
753910	Automobile Frame Straightening
753929	Automobile Fuel Conversion
753602	Automobile Glass-Service & Installation
347927	Automobile Graphics (Mfrs)
501318	Automobile Hand & Foot Controls (Whls)
753912	Automobile Headlight Adjusting
553112	Automobile Hub Caps
754929	Automobile Impound Retrieval Svcs
754908	Automobile Inspection Stations-New/Used
753952	Automobile Interior Repair
751404	Automobile Leasing
769987	Automobile Lock-Out Svc
754903	Automobile Lubrication Service
354503	Automobile Machine Shop Equip/Supls-Mfrs
753802	Automobile Machine Shop Service
501343	Automobile Machine Shop Service-Whls
753804	Automobile Motor Rebuilding
501319	Automobile Motors (Whls)
753202	Automobile Paint
753225	Automobile Paint Repairing
501503	Automobile Parts & Supls-Antique (Whls)
371401	Automobile Parts & Supplies-Mfrs
553111	Automobile Parts & Supplies-Retail-New
501313	Automobile Parts & Supplies-Wholesale
501501	Automobile Parts-Used & Rebuilt (Whls)
501310	Automobile Parts-Warehouses (Whls)
753825	Automobile Performance/Sports Car Rpr
753213	Automobile Pin Striping
371425	Automobile Power Steering (Mfrs)
553113	Automobile Racing Car Equipment
501344	Automobile Racing Equipment-Wholesale
371402	Automobile Racing/Sports Car Equip-Mfrs
753901	Automobile Radiator Repairing
371403	Automobile Radiator-Manufacturers
365104	Automobile Radio & Stereo Systems-Mfrs
501312	Automobile Radio & Stereo Systems-Whls
553114	Automobile Radio & Stereo Systs-Sls/Svc
762203	Automobile Radio/Stereo Systs-Repairing
553155	Automobile Radios/Stereos-Equip/Access
553140	Automobile Remote Starters
751401	Automobile Renting
594207	Automobile Repair Manuals
753926	Automobile Repair/Svc Facilities-Renting
371404	Automobile Repair/Svc-Equip & Supls-Mfrs
501314	Automobile Repair/Svc-Equip/Supl (Whls)
753827	Automobile Repair/Svc-Four Wheel Drive
753801	Automobile Repairing & Service
753819	Automobile Repairing & Service-Mobile
753204	Automobile Restoration-Antique & Classic
753207	Automobile Seatcovers Tops & Upholstery
239910	Automobile Seatcovers-Manufacturers
501345	Automobile Seatcovers-Wholesale
753902	Automobile Smog Control Devices
753913	Automobile Smog Control Inspections
501363	Automobile Speed Controls (Whls)
573118	Automobile Stereo Equip & Accessories
422601	Automobile Storage
553101	Automobile Sunroofs
753932	Automobile Suspensions
614111	Automobile Title Loans
754910	Automobile Transporters & Drive-Away Co
754902	Automobile Undercoating & Rustproofing
501337	Automobile Uphlstry/Top Mtrl/Equip-Distr
754204	Automobile Upholstery Cleaning
639902	Automobile Warranty Processing Service
371302	Automobile Wreckers-Manufacturers
501502	Automobile Wrecking (Whls)
552102	Automobile-Antique & Classic
751403	Automobile-Antique/Classic-Renting/Lsng
501206	Automobile-Buyers (Whls)
371102	Automobile-Manufacturers
371417	Automobile-Manufacturers Equip/Supl-Mfrs
501320	Automobile-Mfrs Equip & Supls (Whls)
753220	Automobile-New Car Pre-Delivery Service
517218	Automobile-Oil Refiners-Distr (Whls)
291106	Automobile-Oil Refiners-Manufacturers
874854	Automobile-Purchasing Consultants
753205	Automobile-Reconditioning
551110	Automobiles-Fleet Sales
551112	Automobile-Specialty
754909	Automobile-Striping Service
754921	Automotive Consultants
559999	Automotive Dealers Nec
594212	Automotive Foreign Manuals
754917	Automotive Information Services
753950	Automotive Interior Leak Repair
965107	Automotive Prods/Supl Quality Control
753998	Automotive Repair Shops
346598	Automotive Stampings (Mfrs)
754999	Automotive Svcs-Except Rpr & Car Washes
239698	Automotive Trimming/Apprl Findings
804962	Autopsy Service
874822	Aviation Consultants
871185	Aviation Engineers
517223	Aviation Fuel (Whls)
549943	Awareness Products
599961	Awnings & Canopies
