CD PO Number,CG Order #,Part Number,Part Description,Qty,Shipped to Date Qty,Previous Ship Date,New Ship Date,Ship Date Revision
138317,193637,16CA06223R,"16 rgd 6x2 CA, oilex brg",20.00,0,09/08/17,09/08/17,N/A
138317,193637,16CA06223S,SWL CST C/W 6X1-7/8 CA WHL,20.00,0,09/08/17,09/08/17,N/A
138320,193655,505738,C0020120ZN-POL01(KK)B,"          2,000.00",0,09/04/17,,N/A
138321,193656,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,10/03/17,,N/A
138322,193658,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,11/02/17,,N/A
138323,193659,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,12/04/17,,N/A
138324,193660,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,01/02/18,,N/A
138325,193662,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,02/02/18,,N/A
138326,193663,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,03/02/18,,N/A
138327,193664,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,04/03/18,,N/A
138328,193665,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,05/02/18,,N/A
138329,193666,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,06/04/18,,N/A
138330,193667,505738,C0020120ZN-POL01(KK)B,"          1,800.00",0,07/03/18,,N/A
SAMPLES/8/9/17/SS,193676,110430,PUT75120BK-B,1.00,0,08/09/17,08/11/17,N/A
138331,193680,505000456,5.00005.456  (05544),"          2,000.00",0,08/16/17,,N/A
138331,193680,57703.11,.50x1.188x1.249 PED ZA081903,"          2,000.00",0,08/16/17,,N/A
138334,193803,12PM08228SLFBA,"12 SL 8x2 PM, prec FBA",40.00,0,08/23/17,08/23/17,N/A
138355,193956,009139,BRAKE KIT GS40 TB,6.00,0,08/16/17,08/16/17,N/A
138355,193956,97725,PCM401RBB,100.00,0,08/16/17,,N/A
138354,193969,1101FA0,WHL 1-9/16-101 1/4 PB,75.00,0,08/15/17,,N/A
138354,193969,9.06045.06,FLOOR LOCK-4&5 SER 6" (06045.67),34.00,0,09/05/17,09/05/17,N/A
138318,194030,96364,PSE20302WA,12.00,0,08/18/17,08/18/17,N/A
138318,194030,102272,PRE30211ZN-MNT,4.00,0,08/18/17,08/18/17,N/A
138318,194030,96364,PSE20302WA,4.00,0,08/18/17,08/18/17,N/A
138318,194030,K2216,PLATE UT5601ZN ASY,48.00,0,08/18/17,08/18/17,N/A
138318,194030,102394,PRE20108ZN-TPUB,16.00,0,08/18/17,08/18/17,N/A
138318,194030,102258,PRE20108ZN-TPU,16.00,0,08/18/17,08/18/17,N/A
138360,194094,16YA06201S,6" SWL RIG STRIPPED 2-7/16"SP,36.00,0,08/17/17,08/17/17,N/A
138360,194094,RIG5X2ES,"RIG, SWL, 5X2, ECON, ZC",640.00,0,08/17/17,,N/A
138360,194094,RIG6X2ER,"RIG, RGD, 6X2, ECON, ZC",500.00,0,08/17/17,,N/A
138360,194094,DX0503106,"DX wheel, 5x1.25""",36.00,0,08/17/17,08/17/17,N/A
138373,194229,AX0522808,"5X2 AX WHL, W/PBB & TOP HATS",300.00,0,08/18/17,08/18/17,N/A
138373,194229,AX0822808,"8X2 AX WHL, W/PBB & TOP HATS",600.00,0,08/18/17,08/18/17,N/A
138375,194231,16LF0480,16 series floor lock 5-5/8",2.00,0,08/18/17,09/01/17,N/A
138375,194231,RIG5X2ES,"RIG, SWL, 5X2, ECON, ZC",640.00,0,08/18/17,,N/A
138375,194231,FB180600,18/110 SERIES 6" BRAKE KIT,100.00,0,08/18/17,08/25/17,N/A
138376,194319,102430,PRE25507ZN-TPUB,4.00,0,08/16/17,08/17/17,N/A
138376,194319,103278,PRE50705ZN-MNT,6.00,0,08/16/17,08/17/17,N/A
138376,194319,103285,PRE50705ZN-MNTB,6.00,0,08/16/17,08/17/17,N/A
138376,194319,96364,PSE20302WA,3.00,0,08/16/17,08/16/17,N/A
138376,194319,110688,PSF100741GR-B,18.00,0,08/16/17,08/16/17,N/A
138383,194320,40XR06201S,SWL CST C/W 6X2 XR WHL,4.00,0,08/18/17,08/18/17,N/A
138383,194320,40XR06201R,RGD CST C/W 6X2 XR WHL,4.00,0,08/18/17,08/18/17,N/A
138382,194324,710689,FRK 7.10689 AX3 LH11.5  (05963.37),2.00,0,08/17/17,,N/A
138382,194324,05944.16,BRK KIT 4SER 6" TOP LOCK,8.00,0,08/17/17,,N/A
138382,194324,203000445,WHL 2.00003.445 (05234.06),20.00,0,08/17/17,,N/A
138382,194324,20300095,2.00003.95   (05345.10),8.00,0,08/17/17,,N/A
138382,194324,205000441,2.00005.441WB01,24.00,0,08/17/17,,N/A
138382,194324,205000565,WHL 2.00005.565 (05556.06),20.00,0,08/17/17,,N/A
138382,194324,203208,FRK 2.03208 AX3 (52021.33),6.00,0,08/17/17,,N/A
138382,194324,203256,FRK 2.03256 SWIVEL AX3(05251.03),100.00,0,08/17/17,,N/A
138382,194324,205208,FRK 2.05208 AX3 (52020.05),12.00,0,08/17/17,,N/A
138382,194324,205256,FRK 2.05256 SWIVEL AX3  (05251.05),12.00,0,08/17/17,,N/A
138382,194324,406000446,4.00006.446  (04644),42.00,0,08/17/17,,N/A
138382,194324,408198,FRK 4.08198 AX3  (05920.12),22.00,0,08/17/17,,N/A
138227/REPLACEMENTS,194907,604208,6.04208 AX3   (05460.21),10.00,0,08/21/17,,N/A
138382,194324,408199,FRK 4.08199 AX3 (05920.15),20.00,0,08/17/17,,N/A
138382,194324,505000456,5.00005.456  (05544),50.00,0,08/17/17,,N/A
138382,194324,506000556,5.00006.556 PERFORMA (05654),240.00,0,08/17/17,,N/A
138382,194324,508000556,5.00008.556 (05854),100.00,0,08/17/17,,N/A
138382,194324,508000926,5.00008.926   (05892),32.00,0,08/17/17,,N/A
138382,194324,55000.17,BUSHING .38X.75X1.88-LONG,40.00,0,08/17/17,,N/A
138382,194324,57030.66,SPACER .78X1.40X.28-WIDE,32.00,0,08/17/17,,N/A
138382,194324,9.06253.05,FLOOR LOCK-250-3-4 SER 5" (06253.57),13.00,0,08/17/17,,N/A
138374,194341,05906.11,BRK KIT 4SER 5" TOTAL LOC W/AX,100.00,0,08/16/17,,N/A
138389,194350,101965,PRE20605ZN-TPR,100.00,0,08/16/17,08/16/17,N/A
138386,194522,008424,WH04.0X1.25TPR32(GG)375,100.00,0,08/23/17,08/23/17,N/A
138350,194662,110YA06201S,6"-110 STD TOP RIG,60.00,0,08/18/17,08/18/17,N/A
138406,194688,102050,PRE40120ZN-3H,"          1,200.00",0,08/25/17,,N/A
138406,194688,103080,PRI40120ZN-3H,"          1,200.00",0,08/25/17,,N/A
138408,194718,02YQ04001S002,"02YQ04001ST, (2) 5/16-18 HOLES",36.00,0,08/21/17,08/21/17,N/A
138408,194718,16YA05201S,5" SWL RIG STRIPPED 2-7/16"SP,36.00,0,08/21/17,,N/A
138408,194718,16YA08201R,8" RGD RIG STRIPPED 2-7/16"SP,36.00,0,08/21/17,,N/A
138408,194718,170YA08201S01,8" KINGPINLESS SWL 9.5",42.00,0,08/21/17,08/21/17,N/A
